,Month,Hour,return_BE_NL,return_AT_NL,return_DE_NL,return_FR_NL,return_CZ_NL,return_UK_NL,return_AT_BE,return_DE_BE,return_FR_BE,return_CZ_BE,return_UK_BE,return_DE_AT,return_FR_AT,return_CZ_AT,return_UK_AT,return_FR_DE,return_CZ_DE,return_UK_DE,return_CZ_FR,return_UK_FR,return_UK_CZ
0,1,1,0.6254594204140138,,-1.0,,0.6020663151444149,-0.6095033375887969,,-0.6181455280541054,-1.0,0.15766963492674094,0.21676256605699548,-1.0,-0.6773873170208852,1.0,,0.9159316653359733,0.022446026475924374,0.44755332486051325,0.32679117945637925,-0.568387863259101,-1.0
1,1,2,0.8419375335280874,1.0,-0.7017228148386001,-0.9999999999999999,0.1493559613408621,,0.4182452398747797,-0.4413562870944057,,0.5142898040174856,,0.12300383150353113,0.9894650082892712,0.2371202613837002,,-0.2792896048904434,-0.42270671925816417,,-0.7527209040820836,0.12700446286448025,-1.0
2,1,3,0.21096295090722944,-0.6250254687877238,-0.9519528488613469,-0.08915566938103452,-0.6779006962719892,,-0.4549283460102718,-0.10487810719406032,-0.7765157318004918,0.010861468428479164,,0.32446428014992884,0.641365758091272,0.16322747348034672,-1.0,0.21555692939328672,0.6179232542017754,-0.31552088148246415,0.46559181967526697,-0.9436652826907971,0.34930663275529966
3,1,4,-0.5584531875287345,,-0.7836552571833273,,-0.8683162338438409,,-0.9999999999999999,-0.30170413928291256,,-0.18045844095657945,,0.35406412778870555,0.8563076011048846,0.9416473766673268,,0.7752888443588278,0.6609067630877428,,-0.3916871994028426,,
4,1,5,0.3336153177225575,-1.0,1.0,,1.0000000000000002,,,-0.8050626602194608,,-0.5055663446178702,,0.6325769466155013,,0.8130059639515287,0.9984566232400366,0.6873371059057025,0.6756752625365939,1.0,1.0,,
5,1,6,,,,,,,,,,,,-0.3076472761775616,-0.8363789325772504,0.5567010974935228,-0.9414811234339427,0.3300581571071873,0.6256527509115962,0.8949860116938774,0.22573896734507812,0.9948075749580212,-0.5945779416098563
6,1,7,0.4087738094987987,1.0,-1.0,1.0,-0.9416772092940129,,-1.0,0.9751159296781052,0.3922491947604043,0.5040974415199931,,-0.2721406043789636,0.3185402675624731,0.32047169991609536,-0.5556030198522265,0.6734346996064932,0.6059194972388234,-0.10122116981691674,0.5462758549785717,0.7774834698792769,-0.9561672316502591
7,1,8,0.6228838187035399,0.9907227753815828,0.31227298358130884,,0.6859641233975214,,-0.16009792405794382,0.6413864831915069,1.0,0.7143569893714669,-1.0,-0.3432873946622876,0.8680880362447169,0.5158774788284907,,0.8140161399057411,0.6658651538717663,1.0,0.05151899326697634,,
8,1,9,0.28830734463408736,-1.0,-1.0,-1.0,0.030309288068518705,-1.0,-0.5126720858542702,-0.3400776589424148,-0.10563959777293132,0.6514902537031042,,0.08588113726109965,-1.0000000000000002,0.2559505097699892,,0.3278529205138901,0.5414328073583952,,0.2039956416517589,,
9,1,10,0.378793019812021,,,,1.0,1.0000000000000002,0.8467992100412708,0.2979270581734801,0.3672721980255117,0.48800049512863797,,0.7847398309458915,0.7199850159474328,0.7181490108587718,,0.8941820559379956,0.5049838941755711,,0.260337267924347,1.0,
10,1,11,-0.17403540075480017,-0.9999999999999999,-1.0,-1.0,1.0,,-1.0,0.9922685534445994,0.9999999999999999,-0.44239840439834344,,-0.7479923207952216,0.17866010676924507,-1.0,1.0000000000000002,-0.9999999999999999,-0.19855621876360488,,,,
11,1,12,0.5908244134811474,1.0,,,0.6714555132389924,,-1.0000000000000002,-0.8309229435772669,0.25829945545629884,0.46188951786524035,,0.6518424997685027,,-1.0,,-0.09283215315035688,0.13554424039106266,-0.05151750806471764,0.9490182115403772,,1.0000000000000002
12,1,13,0.6170136228985937,-0.838226836502334,0.9999999999999998,0.9999999999999998,0.9999999999999996,,-0.015322376182879497,0.4674047933520266,-0.3465313934756127,0.7089025254671406,-1.0,0.5601379385176055,0.7304821086881611,0.8835220583237537,0.9701482788827691,0.6659208771261289,0.9240895308880729,1.0,0.6806193674068547,-0.42856904313063976,0.31375358353870725
13,1,14,0.17292239038902668,,,,,,1.0,0.6598503288797579,-0.9999999999999999,0.8760737969794201,,-0.3149354734865278,-0.20427938342150745,-0.844074168321692,0.6465639903003976,0.8033733120886145,0.7367506935065505,-1.0,-0.9146004521366754,0.9974860408764424,-1.0
14,1,15,0.8255435689199188,,,,,,,,,,,-0.14113458993067202,1.0,,-1.0000000000000002,1.0,,-0.2953358299655562,,1.0,-1.0
15,1,16,0.9886030846778598,,,,0.8226056061745062,,-1.0000000000000002,0.784340881915285,-0.7670733798936714,0.5746314234034571,,0.2648952251600505,0.6785443432191691,0.5339180877552,-1.0,0.8694063437194928,-0.10186261509358459,,-0.6948304576575169,-0.608958088698286,0.9999999999999999
16,1,17,0.7970691431257907,1.0,-0.5617846956562629,,-0.5300714227778407,,0.5008471047121144,0.6935277419980467,1.0000000000000002,0.7956470050866261,,0.32394581130901146,,0.1722997872811212,,0.9613038600568314,0.28227474007462566,,0.4705412321064614,1.0,
17,1,18,0.6889226647582186,,,,1.0000000000000002,,1.0,,,1.0,,0.9478990464284931,-1.0,-1.0,,,0.5844129613188661,,0.6910168661943022,,
18,1,19,0.3916398728700092,,-1.0,,-0.582411232380616,,,0.9165587527126136,-1.0,0.8871514220572682,,0.8895464999181519,,-1.0,,-1.0,0.9683137763715151,,-0.055507720777438235,,
