,Month,Hour,BE_NL,AT_NL,DE_NL,FR_NL,CZ_NL,UK_NL,AT_BE,DE_BE,FR_BE,CZ_BE,UK_BE,DE_AT,FR_AT,CZ_AT,UK_AT,FR_DE,CZ_DE,UK_DE,CZ_FR,UK_FR,UK_CZ
0,1,1,0.8253579683713969,0.3362322128554218,-0.01132664417072891,0.08497757457915554,0.4325271923937513,0.01384088463904391,0.6616341781323075,0.5552250431546139,0.44143502134133533,0.8660537529412298,0.1272930269712446,0.6764802033915677,0.5035684631752811,0.758831323659685,0.13663765429224486,0.6566142548384035,0.896663969976546,0.20505027682322385,0.6296780949703482,0.423161054150413,0.19101738914752053
1,1,2,0.8793254490760979,-0.07634020508805651,-0.15304911380329464,-0.058601997885046685,0.4559066453021389,-0.05391169281021515,0.2740117605796187,0.33603078687659405,0.18398341566487492,0.8247404430584095,0.10829133918891129,0.7195910627859796,0.2896531448949856,0.6027644550596095,0.24082696678130489,0.49768913360848305,0.8097657072170883,0.33134235274023477,0.4134430921029602,0.6238873136279722,0.26640965585669374
2,1,3,0.7342791969008462,0.011906843985628218,0.020800992242165094,0.04813206353258644,0.3506489481880198,-0.2805305602424679,0.5775019432012929,0.6939744554359668,0.5865970173911271,0.8932197386737775,0.14503778029345926,0.8378965635993169,0.7843423647113832,0.7888089168216281,0.5025641154552507,0.8128702718636303,0.9435981950991928,0.5111431456973626,0.7773630531561252,0.7078352374495099,0.3858909639796889
3,1,4,0.8213018806921876,0.06751665355727503,0.09804599023779212,-0.035902714648360715,0.47892225017983664,-0.08147714457171032,0.3953815056929391,0.6482704905081669,0.36705552909631806,0.894151938994795,0.02700511113456738,0.5996009511942468,0.28297014922102465,0.5554083549601306,0.13245131796342846,0.6882172539630199,0.9205841108232734,0.15585184922537912,0.592992057154207,0.45561513520070673,0.10550357637145891
4,1,5,0.7885475609225169,-0.1009240105165721,-0.011556357095769016,-0.19999413571509966,0.3870055786240101,0.13251804438707054,0.3196045290308745,0.6058199719250451,0.28252148768122815,0.8722257082773908,0.3826985990248985,0.650236682316098,0.6403090694603506,0.5594749134179139,0.15457628908973287,0.7181091716256077,0.9175434250154535,0.45081833622754025,0.5826663409418085,0.4970272545981565,0.4684145574242664
5,1,6,0.8401045554209725,-0.2320474117584812,-0.2030424792650553,-0.0679134479629497,0.35360202840059807,-0.17584431450694263,0.18468559399365983,0.3605488458435285,0.3538135901792181,0.8044443598621692,0.1817740078788176,0.7324126433629663,0.5907501615453645,0.5726083930965244,0.5526928206713256,0.7554770146899029,0.844115365905092,0.6305112110767531,0.684516084725498,0.7739041758592372,0.5060374697292623
6,1,7,0.8585378545939909,0.1351032950594906,0.13291668146021224,0.2774204904249535,0.5435303434063149,0.16595503920183105,0.4529150884861601,0.622314665266056,0.5843426635681747,0.8970385064619383,0.32340471597284326,0.6692187637779224,0.5005794722033964,0.6249884707398947,0.24722722043143935,0.7060012308795258,0.9041860462655462,0.37178154777398187,0.7174730868635696,0.6604020024798387,0.3863836781564415
7,1,8,0.8407774158606875,0.010164500338170984,0.0029360429520728457,0.06800108807350487,0.46109561681689953,0.2735564576508425,0.38578173796524506,0.543847178808265,0.4361360128888926,0.8680734173846449,0.4129303898268071,0.6968294392152329,0.39356132438218555,0.6229949108058205,0.09995786432768686,0.7001884472723802,0.8887004281118821,0.33869742075542236,0.652493055824521,0.6679880689199185,0.425967590352764
8,1,9,0.7881367085163957,-0.30097198922340795,-0.3151200551673646,-0.25948043546835836,0.20126483332739054,-0.16290142974718178,0.22687170589162278,0.33578392498586973,0.28274586606750857,0.7615293644943911,-0.05299405124019333,0.8104144400774611,0.6591655969865308,0.6779823625753368,0.0869438544157837,0.8330707418929268,0.8662086544301258,0.16758582918137144,0.7232120159688755,0.3638067764288247,0.08720020114779417
9,1,10,0.8682928712486291,-0.45700918162530535,-0.3438823530396916,-0.2719730948770777,0.32132927110956155,-0.19714900215085662,-0.06018640986637223,0.16720846059966954,0.03289840796380058,0.7487529591894146,-0.01060030041618474,0.7943914733689786,0.5828644693165225,0.4957819419265784,0.4191898130191454,0.6028324092262882,0.7787151082263074,0.37177487796776,0.426227296001857,0.6912155584986676,0.24320420750121408
10,1,11,0.780103538022031,0.053893120520861745,0.05771666863285818,0.013181436869861026,0.41351561785708496,0.15281381951737638,0.5253323361701757,0.6696324579201862,0.34156777443027236,0.8922378589980602,0.2940438834053246,0.774283138910425,0.4303565116391847,0.7256084490298553,0.16059022010983934,0.5293828727085393,0.9328459743539296,0.28779651073655454,0.4875632450905035,0.5080017973850971,0.3176224075284792
11,1,12,0.8190411971502707,-0.02382501217491253,-0.008157507041068556,-0.01930125148943379,0.4256687623537557,-0.10865611149460937,0.458927652009793,0.567034285707417,0.4424592515714648,0.8678007750271,0.16739626193774815,0.8340734801900924,0.6588778006908729,0.7444433009971744,0.44642202729405334,0.7988759445872364,0.9013765513400337,0.4477506685149884,0.7145517455885609,0.497973691716262,0.35812009279544155
12,1,13,0.7556381495445831,-0.023944225585567372,-0.13915251352189886,0.09410715402720887,0.27929953820320685,0.17749801326806874,0.5043150247233392,0.5434679392240207,0.572391471004813,0.8399727506534733,0.486367813724505,0.7931549748936673,0.5767819518298943,0.7591545924876557,0.41423698097740486,0.7447851272420074,0.9119969298301828,0.5078537577256694,0.7611534418166443,0.5885476286792345,0.5659586118662696
